傅艺伟,128
小泉今日子,128
小栗旬,128
张智霖,128
王刚[中国内地影视男演员、主持人],128
李灿森,128
染谷将太,128
叶童,128
黎明[华语男歌手、演员],128
张艾嘉,128
陶大宇,127
渡部笃郎,127
刘威[中国内地影视演员],127
陈伟,127
张华,127
张建华,127
赵永洪,127
宋春丽,126
张敏,126
安圣基,126
铃木京香,126
姜超[中国内地男演员],126
王爱明[演员],126
王磊,126
郭德信,125
刘杰,125
骆达华,125
李晨[中国内地男演员],125
李家村,125
张家辉[香港影视男演员],125
新华村,124
张耀扬,124
张杰,124
绫野刚,124
陈百祥,124
金兴贤,124
黄晓明[中国内地男演员],124
约翰·特拉沃尔塔[美国著名演员],124
李涛,124
杨幂,124
石田百合子,123
藤木直人,123
蒂姆·罗斯,123
生濑胜久,123
王志文[中国著名演员],123
郑裕玲,123
李俊,123
加濑亮,122
本尼迪克特·康伯巴奇,122
惠天赐,122
叶德娴,122
孔琳[中国女演员孔琳],122
深田恭子,122
黄日华,122
梁舜燕,122
刘刚,122
冼灏英,122
万达广场,121
朱咪咪,121
李幼斌[中国内地实力派演员],121
康华[中国香港女演员],121
津川雅彦,121
金海淑,121
吴廷烨,121
黄德斌[香港影视演员],121
玉山铁二,121
刘之冰,120
寇世勋,120
吕颂贤,120
王峰,120
周迅[中国内地女演员、歌手],120
苏有朋,120
王涛,120
埃德·哈里斯,120
陈杰,120
胡军[中国内地男演员],120
金燕玲,120
奚美娟,120
佟大为,120
邓萃雯,119
李颖[上海籍女演员],119
黑川智花,119
龙天翔,119
南波瑠,119
巫刚,119
姚莹莹,119
金巧巧,119
严屹宽,119
温兆伦,119
郭涛[中国内地男演员],118
何政军,118
吴奇隆,118
黎汉持,118
陈冲[美籍华裔女演员],118
牛犇[中国影视演员],118
秦海璐,118
王建华,118
李成昌,117
汤镇宗,117
桥头村,117
邵兵[中国内地男演员],117
天海佑希,117
李建华,117
张鹏,117
王志飞[中国内地男演员],117
佐藤二朗,117
颜丙燕,117
郑卫莉,117
马海伦,117
张子健[中国内地男演员],117
黎姿,117
吴冕,116
何家劲,116
户田惠梨香,116
古城村,116
刘涛[中国内地女演员],116
茹萍,116
张丰毅,116
于震[中国内地男演员],116
江口洋介,116
吴君如,116
黄浩然[中国香港男演员],116
玉木宏,116
陈汉玮,116
王静,116
李莉,116
陈军,116
宁静[中国内地女演员],116
河国荣,116
伊藤步,116
西岛秀俊,116
王芳,116
苗圃[中国女演员],116
林伟[中国香港男演员],116
麻生久美子,115
高峰,115
苍井优,115
范明[中国内地影视演员],115
蔡卓妍,115
布鲁斯·威利斯,115
关宝慧,115
张铁林,115
白茵,115
张辉,115
李心敏,115
王羽[演员],114
连姆·尼森,114
谢君豪,114
罗文姬,114
赵军,114
吕有慧,114
陈展鹏[中国香港男演员、主持、歌手],114
吴彦祖,114
爱知电视台,114
冯远征,114
王宏,114
王建国,114
南庄村,114
白灵[美籍华人女演员],114
刘波,114
高斗心,114
李辉,113
马苏,113
于小慧,113
欧阳佩珊,113
鲁振顺,113
董勇[中国内地男演员],113
韩童生,113
甄子丹,113
药师丸博子,113
王静[中国人民解放军海军政治部电视艺术中心演员],113
王建新[中国内地男演员],113
蔡少芬,113
真田广之,113
阎青妤,113
陶慧敏[演员],113
神木隆之介,113
周绍栋,112
石坂浩二,112
谭咏麟,112
潘冠霖,112
恬妞,112
吉永小百合,112
钟欣潼,112
小田切让,112
